query,label
I need help booking a flight on your website,Flight Bookings
Can I use my travel voucher for a flight to Spain?,Travel Vouchers
"I'm having trouble with my payment for a Ryanair flight booking, what should I do to resolve the issue?",Payment Issues
Are there any current travel restrictions I need to know about?,Travel Restrictions
Can I change my seat selection after booking with Ryanair?,Seat Selection
"I had a bad experience on my last Ryanair flight, how do I submit feedback?",Complaints and Feedback
The mobile app isn't working. What can I do?,Mobile App Issues
Are there specific travel documents needed for EU flights?,Travel Documentation
Could you explain the online check-in process for Ryanair?,Check-in Procedures
"How do I redeem a travel voucher for a Ryanair flight booking online, and are there any restrictions or limitations I should be aware of?",Travel Vouchers
I'm having trouble with my account. Can you help?,Customer Account Issues
The Ryanair app keeps crashing. Can you help?,Mobile App Issues
How do I book a flight with Ryanair? I need to travel next month and want to know the steps involved.,Flight Bookings
I'm having trouble processing my payment for a Ryanair booking. What should I do?,Payment Issues
What documents do I need to travel with Ryanair to France?,Travel Documentation
What airport services does Ryanair offer its passengers?,Airport Services
What services and facilities does Ryanair provide at the airport?,Airport Services
Can I get a refund if my flight gets canceled?,Refunds and Compensation
What is the status of flight FR1234 from London to Paris?,Flight Status
What is the process to change my flight booking?,Flight Changes
Is it possible to change the date of my Ryanair flight without incurring extra fees or charges?,Flight Changes
Are there any travel restrictions for Ryanair flights due to COVID-19?,Travel Restrictions
Are there any discounts available?,Promotions and Discounts
My flight to Copenhagen might be affected by bad weather. What are my options?,Weather-related Disruptions
Is there a lounge available for Ryanair passengers?,Airport Services
Why can't I complete my payment for a flight to Greece?,Payment Issues
How do I apply a travel voucher to my booking?,Travel Vouchers
Do I need a visa to fly from one EU country to another?,Travel Documentation
Is my flight on time or has it been delayed?,Flight Status
Can I change my flight date after booking? I need to reschedule my trip due to an emergency.,Flight Changes
"Can I purchase duty-free items on my Ryanair flight? If so, what products are available, and are there any restrictions on what I can buy?",Duty-Free Shopping
Can I choose a window seat when I book my flight?,Seat Selection
How can I make a group booking for 15 people?,Group Bookings
What should I do if the Ryanair app crashes?,Mobile App Issues
"I'm having trouble logging into my Ryanair customer account, what steps can I take to resolve this issue?",Customer Account Issues
"The Ryanair mobile app keeps crashing, can you help?",Mobile App Issues
What are the steps for checking in at the airport for a Ryanair flight?,Check-in Procedures
Does Ryanair offer travel insurance and how do I purchase it?,Travel Insurance
What kind of travel documents are required for Ryanair flights?,Travel Documentation
How can I find out about upcoming sales or discounts on flights?,Promotions and Discounts
"Can you provide information on the in-flight services available on Ryanair flights, such as meal options, entertainment, and Wi-Fi availability?",In-flight Services
I need to book a flight to Lisbon for next month. What are the available options?,Flight Bookings
What is the maximum weight allowed for checked baggage on Ryanair flights? Is there a fee if it's overweight?,Baggage Policies
"What are the COVID-19 guidelines for flying with Ryanair? Do I need to provide any test results or vaccination proof, and are there any special measures in place during the flight?",COVID-19 Policies
How can I use my travel vouchers online?,Travel Vouchers
Can I change my flight booking and what are the fees?,Flight Changes
Are there any meals or snacks provided during the flight?,In-flight Services
Do you offer any loyalty programs?,Loyalty Programs
I'm having trouble with the Ryanair mobile app. It keeps crashing when I try to check my booking. What can I do to fix this issue?,Mobile App Issues
Is my flight from Vienna to Prague on schedule?,Flight Status
I want to bring my cat on my Ryanair flight. What are the requirements and fees?,Pet Travel
"I lost my bag at the airport, what should I do?",Lost and Found
"How can I earn frequent flyer miles with Ryanair and what can I use them for, such as flight upgrades or discounts?",Frequent Flyer Miles
I'm having issues with the Ryanair mobile app. Can you assist me in resolving this?,Mobile App Issues
Does Ryanair offer any loyalty program for frequent travelers?,Loyalty Programs
What documents are required for a Ryanair flight to Italy?,Travel Documentation
"Can you provide assistance with accessing my Ryanair customer account, including troubleshooting login issues and how to reset my password if needed?",Customer Account Issues
How do I make a group booking for 10 or more people?,Group Bookings
Where can I find the latest updates on my flight status?,Flight Status
"I have an issue with my customer account, who can help?",Customer Account Issues
I was double-charged for my booking. How do I get a refund?,Payment Issues
Are there any duty-free shopping options available on Ryanair flights?,Duty-Free Shopping
How can I get assistance with my Ryanair account issues?,Customer Account Issues
I have an issue with my Ryanair account. Can you assist?,Customer Account Issues
Is travel insurance available when booking a Ryanair flight?,Travel Insurance
What documents do I need to travel from Budapest to Athens?,Travel Documentation
